article,word,tf,idf,tfidf,count,pos,ngd功效,ngd品牌,rank_page
1,益生菌,0.0755132,0.22670857,0.01711949,103,n,0.67285679,0.58955609,1
1,功效,0.03445748,1.68327198,0.05800131,47,n,0,0.78370671,1
1,定殖,0.00733138,4.6340494,0.03397397,10,n,0.94661892,0.70701614,1
1,發揮,0.00659824,3.58679705,0.02366655,9,v,0.80294548,0.59608218,1
1,有益,0.00513196,2.38797979,0.01225503,7,n,0.69899698,0.68339542,1
1,體內,0.00366569,3.53910927,0.01297327,5,n,0.63211966,0.70484455,1
1,實證,0.00366569,5.64436268,0.02069048,5,v,0.85762445,0.73150762,1
1,研究,0.00879765,1.36586378,0.0120164,12,v,1.10728342,0.73666617,1
1,期刊,0.00366569,3.94090405,0.01444613,5,n,0.8945321,0.65423208,1
1,挑選,0.00806452,3.27749972,0.02643145,11,v,0.76454972,0.53461193,1
1,醫學,0.00366569,3.31596597,0.0121553,5,n,0.5181746,0.42146557,1
1,補充,0.00879765,2.29196517,0.02016392,12,v,0.56797888,0.39430986,1
1,益生菌推薦,0.01099707,5.48992604,0.06037309,15,n,0.58073834,0.52897652,1
1,有助,0.01026393,2.33882057,0.02400549,14,v,0.51685019,0.38276549,1
1,腸道,0.01173021,3.4072645,0.03996791,16,n,0.64503133,0.45462099,1
1,菌種,0.01759531,4.77968881,0.0841001,24,n,0.58534033,0.52848974,1
1,菌株,0.01612903,3.82027627,0.06161736,22,n,0.85506431,0.84921757,1
1,留意,0.00366569,3.92635836,0.01439281,5,v,0.88761151,0.58689237,1
1,建議,0.00733138,2.20114653,0.01613744,10,n,0.74685957,0.41947337,1
1,菌數,0.01173021,5.84045861,0.06850978,16,n,0.60189053,0.48111404,1
1,推薦,0.01906158,1.45325559,0.02770135,26,v,0.44387975,0.36786063,1
1,選擇,0.00879765,1.82064212,0.01601738,12,v,0.50858354,0.43207655,1
1,具備,0.00439883,4.35187788,0.01914316,6,v,0.66939844,0.38173478,1
1,存活率,0.00293255,4.31127702,0.01264304,4,n,0.88272894,0.72407594,1
1,益生質,0.0058651,6.34964545,0.03724132,8,n,0.71621775,0.62623087,1
1,寡糖,0.00293255,4.20804103,0.0123403,4,n,0.79823293,0.72233488,1
1,LP28,0.00366569,6.23981641,0.02287323,5,eng,1.05384162,0.89240762,1
1,嗜酸乳桿菌,0.00293255,5.69809406,0.01670995,4,n,0.65621466,0.66351813,1
1,族群,0.0058651,3.61284015,0.02118968,8,n,0.90236854,0.62803693,1
1,益生菌好處,0.00439883,8.19699398,0.03605716,6,n,0.69624131,0.59455632,1
2,市售,0.00585418,4.62675012,0.02708582,11,n,0.87484873,0.41824263,1
2,益生菌,0.05534859,0.22670857,0.012548,104,n,0.67285679,0.58955609,1
2,腸道,0.00957956,3.4072645,0.03264011,18,n,0.64503133,0.45462099,1
2,過敏,0.00425758,3.12875459,0.01332093,8,n,0.52349624,0.48703641,1
2,沒效,0.00425758,6.47304237,0.02755952,8,v,0.72147471,0.6031298,1
2,益生菌功效,0.00638638,6.68529524,0.04269481,12,n,0.54642562,0.57544302,1
2,差異,0.00585418,3.28697846,0.01924256,11,l,0.89783764,0.51745074,1
2,益生菌推薦,0.00266099,5.48992604,0.01460864,5,n,0.58073834,0.52897652,1
2,研究,0.00904737,1.36586378,0.01235747,17,v,1.10728342,0.73666617,1
2,幫助,0.01862693,2.38025775,0.04433689,35,v,0.47871527,0.24520063,1
2,腹瀉,0.00798297,4.39997754,0.03512489,15,v,0.47469595,0.51622196,1
2,合適,0.00319319,4.25456093,0.01358561,6,a,0.77799099,0.51191098,1
2,產品,0.01224055,1.72833347,0.02115576,23,n,0.51295934,0.36098636,1
2,類型,0.00372539,3.22244,0.01200483,7,n,0.62715179,0.2961054,1
2,功效,0.0250133,1.68327198,0.0421042,47,n,0,0.78370671,1
2,建議,0.00851517,2.20114653,0.01874313,16,n,0.74685957,0.41947337,1
2,菌種,0.02448111,4.77968881,0.11701207,46,n,0.58534033,0.52848974,1
2,HN019,0.00478978,7.39855733,0.03543748,9,eng,0.8431274,0.80165804,1
2,推薦,0.00851517,1.45325559,0.01237471,16,v,0.44387975,0.36786063,1
2,服用,0.00638638,2.3241683,0.01484301,12,v,0.61441908,0.67584718,1
2,NCFM,0.00532198,7.65568563,0.0407434,10,eng,0.97893169,1.0573399,1
2,異位性皮膚炎,0.00319319,5.50731764,0.0175859,6,n,0.64019577,0.66396441,1
2,LGG,0.00904737,5.60878616,0.05074474,17,eng,1.14395945,0.85417055,1
2,過敏性鼻炎,0.00319319,6.03138244,0.01925934,6,n,0.57730135,0.51855951,1
2,龍根菌,0.00798297,6.05082929,0.04830359,15,n,0.38726332,0.37652351,1
2,BB536,0.00212879,6.88659289,0.01466012,4,eng,1.16750777,1.0997041,1
2,LP,0.02128792,4.3913195,0.09348205,40,eng,1.56654699,1.217121,1
2,劑量,0.00266099,4.87288218,0.01296669,5,n,0.63875721,0.731345,1
2,成分,0.01011176,1.31422188,0.0132891,19,n,0.56219154,0.57961243,1
2,腸道益生菌,0.00319319,5.58955498,0.0178485,6,n,0.57610498,0.52911644,1
2,助消化,0.00691857,4.42343896,0.03060389,13,n,0.61516753,0.65732855,1
2,過敏益生菌,0.00212879,6.98924328,0.01487864,4,n,0.50632708,0.44761016,1
2,菌數,0.01011176,5.84045861,0.05905732,19,n,0.60189053,0.48111404,1
2,添加物,0.00638638,4.24707028,0.02712339,12,n,0.78759202,0.58792924,1
2,胃部,0.00266099,4.50051846,0.01197583,5,n,0.71767808,0.71388144,1
2,狀況,0.00478978,3.32581826,0.01592994,9,n,0.82420965,0.53572642,1
2,雷特氏B菌,0.00532198,6.73493902,0.03584321,10,n,0.77194121,0.64744839,1
2,森下仁丹,0.00478978,4.58403916,0.02195655,9,n,0.95815555,0.7436189,1
2,腸道保健,0.00319319,6.09720473,0.01946952,6,n,0.54008833,0.58192089,1
2,配方時代,0.00319319,12.3637884,0.0394799,6,n,0.67974657,0.62692326,1
2,BioOne,0.00425758,6.74094486,0.02870014,8,eng,1.14226051,1.09677074,1
2,腸胃益生菌推薦,0.00266099,7.68622003,0.02045295,5,n,0.64505726,0.52022515,1
2,膳食纖維,0.00745077,3.80897673,0.02837982,14,n,0.53777513,0.56202772,1
2,酵素,0.00585418,2.10905699,0.01234679,11,n,0.76901868,0.71091275,1
2,義美生醫,0.00212879,5.75938171,0.01226053,4,n,0.91985552,0.68280365,1
2,複合菌,0.00212879,7.48980045,0.01594423,4,n,0.75814854,0.64604722,1
2,調整,0.00904737,3.05058988,0.0275998,17,v,1.0045345,0.52545118,1
2,體質,0.01011176,3.4235074,0.03461769,19,n,0.58860421,0.61001802,1
2,BRAP,0.00478978,9.46833696,0.04535127,9,eng,1.29642373,1.05940536,1
2,LP33,0.00372539,5.85898887,0.02182699,7,n,0.98208971,0.83402361,1
2,HB89,0.00478978,11.3892288,0.05455192,9,eng,1.1863124,1.0328054,1
2,主菌種,0.00851517,10.5205967,0.08958465,16,n,0.69513896,0.58949662,1
2,比菲德氏菌,0.00266099,5.79733868,0.01542666,5,n,0.63946303,0.5887609,1
2,益生質,0.00745077,6.34964545,0.04730976,14,n,0.71621775,0.62623087,1
2,寡糖,0.00372539,4.20804103,0.01567658,7,n,0.79823293,0.72233488,1
2,專利,0.00425758,3.12065739,0.01328646,8,n,0.8390589,0.59322492,1
2,專利菌種,0.00532198,7.46464347,0.03972668,10,n,0.6321941,0.63733017,1
2,輔菌,0.00372539,11.9979885,0.04469714,7,n,0.80532962,0.67577065,1
2,主菌,0.00319319,8.50639758,0.02716253,6,n,0.76891178,0.61546837,1
2,耐酸耐鹼,0.00319319,8.64191752,0.02759527,6,n,0.94695922,0.62557011,1
2,定殖,0.00266099,4.6340494,0.01233116,5,n,0.94661892,0.70701614,1
2,優酪乳,0.00266099,5.06173569,0.01346923,5,n,0.74663569,0.55351967,1
2,Lactobacillus,0.00266099,5.13757332,0.01367103,5,n,1.16631844,1.12692184,1
2,維持消化道機能,0.00425758,5.11955492,0.02179693,8,n,0.81314796,0.8433992,1
2,副乾酪乳桿菌,0.00212879,6.80628488,0.01448916,4,n,0.75329395,0.761625,1
3,益生菌推薦,0.00398804,5.48992604,0.02189402,4,n,0.58073834,0.52897652,1
3,比較,0.00797607,2.3241683,0.01853773,8,d,0.62888579,0.61432376,1
3,江欣樺,0.00398804,9.91350194,0.0395354,4,n,0.92332622,0.88778028,1
3,營養師,0.0109671,4.14544833,0.04546354,11,n,0.71530487,0.58883126,1
3,微生物,0.00598205,2.67824906,0.01602143,6,n,0.66192691,0.66605137,1
3,吃益生菌,0.00498504,3.79305285,0.01890854,5,n,0.63657038,0.57952189,1
3,好菌,0.00797607,4.08231542,0.03256084,8,n,0.65906116,0.58966176,1
3,菌叢,0.00398804,5.14976852,0.02053746,4,n,0.85737876,0.83124838,1
3,體質,0.00498504,3.4235074,0.01706634,5,n,0.58860421,0.61001802,1
